date,code,name,open,high,low,close,volume,value
2026-03-10,NVDA,NVDA,182.4,186.44,182.01,184.77,179118528,33095730418.56
2026-03-10,PLTR,PLTR,155.99,156.657,150.14,151.14,47501391,7179360235.74
2026-03-10,TSLA,TSLA,402.22,406.59,398.19,399.235,59258743,23658164261.605
2026-03-11,AMD,AMD,205.11,209.21,203.63,204.83,23076366,4726732047.780001
2026-03-11,AMZN,AMZN,215.705,217,211.35,212.65,34199303,7272481782.95
2026-03-11,AVGO,AVGO,342.59,345.81,338.22,341.57,20104102,6866958120.139999
2026-03-11,GOOGL,GOOGL,306.75,311.42,305.92,308.7,24125714,7447607911.8
2026-03-11,META,META,654.76,659.12,648.36,654.86,8977162,5878784307.32
2026-03-11,MSFT,MSFT,405.57,409.01,401.59,404.88,25512139,10329354838.32
2026-03-11,MU,MU,410.77,422.75,405.79,418.69,30191430,12640849826.7
2026-03-11,NVDA,NVDA,185.91,187.62,184.45,186.03,145280386,27026510207.58
2026-03-11,PLTR,PLTR,151.38,153.169,149.33,151.6,33955903,5147714894.8
2026-03-11,TSLA,TSLA,402.28,416.38,402.15,407.82,62559930,25513190652.6
2026-03-12,AMD,AMD,202.825,203.62,196.67,197.74,28886913,5712098176.62
2026-03-12,AMZN,AMZN,210.39,211.71,208.15,209.53,44349501,9292550944.53
2026-03-12,AVGO,AVGO,337.74,339.83,332.2,335.97,21982746,7385543173.620001
2026-03-12,GOOGL,GOOGL,306.82,308.94,301.03,303.55,24928347,7566999731.85
2026-03-12,META,META,648.75,653.5,636.9,638.18,11617485,7414046577.299999
2026-03-12,MSFT,MSFT,404.63,406.12,401.71,401.86,27263886,10956265227.960001
2026-03-12,MU,MU,409.995,413.73,396.665,405.35,31720873,12858055870.550001
2026-03-12,NVDA,NVDA,184.05,184.94,181.75,183.14,155762663,28526374101.82
2026-03-12,PLTR,PLTR,153.01,155.88,150.98,153.5,54409799,8351904146.5
2026-03-12,TSLA,TSLA,405.175,406.5,394.65,395.01,60973793,24085257972.93
2026-03-13,AMD,AMD,198.11,199.68,192.27,193.39,27561888,5330193520.32
2026-03-13,AMZN,AMZN,209.605,210.56,206.22,207.67,35662137,7405955990.79
2026-03-13,AVGO,AVGO,337.68,338.32,321.43,322.16,34724950,11186989892.0
2026-03-13,GOOGL,GOOGL,307.01,307.69,300.44,302.28,23693092,7161947849.759999
2026-03-13,META,META,623.89,629.17,609.55,613.71,18957637,11634491403.27
2026-03-13,MSFT,MSFT,401,404.8,394.25,395.55,26848000,10619726400.0
2026-03-13,MU,MU,413.75,429.35,413,426.13,39260990,16730285668.7
2026-03-13,NVDA,NVDA,184.92,186.09,179.94,180.25,160988424,29018163426.0
2026-03-13,PLTR,PLTR,153.3,154.56,148.58,150.95,42460572,6409423343.4
2026-03-13,TSLA,TSLA,399.165,400.2,389.95,391.2,58504091,22886800399.2
2026-03-16,AMD,AMD,194.975,200.17,194.8,196.58,30285170,5953458718.6
2026-03-16,AMZN,AMZN,208.35,212.724,207.445,211.74,42209316,8937400569.84
2026-03-16,AVGO,AVGO,326.02,329.2,320.06,324.92,31363086,10190493903.12
2026-03-16,GOOGL,GOOGL,304.35,306.489,303.02,305.56,23519709,7186682282.04
2026-03-16,META,META,632,634.75,623.1,627.45,15134852,9496362887.400002
2026-03-16,MSFT,MSFT,398.07,400.63,394.79,399.95,27733721,11092101713.949999
2026-03-16,MU,MU,446.16,454.86,437.745,441.8,43067574,19027254193.2
2026-03-16,NVDA,NVDA,182.97,188.88,181.41,183.22,217307380,39815058163.6
2026-03-16,PLTR,PLTR,152.45,153.86,151.17,152.72,32898946,5024327033.12
2026-03-16,TSLA,TSLA,396.22,403.73,394.42,395.56,58068343,22969513757.08
2026-03-17,AMD,AMD,196.68,199.21,195.26,196.31,22779675,4471877999.25
2026-03-17,AMZN,AMZN,212.82,215.7,212.43,215.2,44969943,9677531733.6
2026-03-17,AVGO,AVGO,325.76,327.44,317.25,321.31,38026497,12218293751.07
2026-03-17,GOOGL,GOOGL,305.86,311.42,305.5,310.92,21955171,6826301767.320001
2026-03-17,META,META,627.985,636.55,621.7,622.66,10348755,6443755788.299999
2026-03-17,MSFT,MSFT,400.27,404.4,397.745,399.41,26228279,10475836915.390001
2026-03-17,MU,MU,452.535,462.73,445.14,461.69,43017891,19860930095.79
2026-03-17,NVDA,NVDA,185.06,185.4,181.68,181.93,182497757,33201816931.010002
2026-03-17,PLTR,PLTR,152.405,156.75,152.12,155.08,37118457,5756330311.56
2026-03-17,TSLA,TSLA,395.69,400.12,393,399.27,46890467,18721956759.09
2026-03-18,AMD,AMD,196,202.86,195.75,199.46,28569135,5698399667.1
2026-03-18,AMZN,AMZN,213.925,215.14,208.825,209.87,37846642,7942874756.54
2026-03-18,AVGO,AVGO,320.425,325.44,315.55,315.93,25460596,8043766094.28
2026-03-18,GOOGL,GOOGL,309.27,312.47,306.932,307.69,20009815,6156819977.35
2026-03-18,META,META,616.34,622.65,614.61,615.68,11726301,7219648999.679999
2026-03-18,MSFT,MSFT,397.125,398,391,391.79,25908484,10150684946.36
2026-03-18,MU,MU,464.76,471.34,458.3,461.73,58973662,27229908955.260002
2026-03-18,NVDA,NVDA,182.48,183.38,180.33,180.4,156683136,28265637734.4
2026-03-18,PLTR,PLTR,154.945,156.69,152.61,152.77,32476677,4961461945.29
2026-03-18,TSLA,TSLA,399,403.065,392.31,392.78,50853149,19974099864.219997
2026-03-19,AMD,AMD,195.032,205.88,192.83,205.27,32245329,6618998683.83
2026-03-19,AMZN,AMZN,207.06,209.12,206.05,208.76,36440622,7607344248.719999
2026-03-19,AVGO,AVGO,312.47,323.27,308.51,319.84,23524816,7524177149.44
2026-03-19,GOOGL,GOOGL,304.005,308.06,302.35,307.13,25075831,7701539975.03
2026-03-19,META,META,612.15,613,602.26,606.7,13247696,8037377163.200001
2026-03-19,MSFT,MSFT,390.1,392.49,387.06,389.02,25138772,9779485083.439999
2026-03-19,MU,MU,424.97,457.22,421.11,444.27,74591901,33138943857.27
2026-03-19,NVDA,NVDA,178.01,179.98,175.785,178.56,170968527,30528140181.12
2026-03-19,PLTR,PLTR,153.1,156.15,150.5,155.68,33915877,5280023731.360001
2026-03-19,TSLA,TSLA,387.27,387.27,378.73,380.3,67078259,25509861897.7
2026-03-20,AMD,AMD,204.885,206.3,198.26,201.33,37265103,7502583186.990001
2026-03-20,AMZN,AMZN,207.4,207.54,204.316,205.37,63694603,13080960618.11
2026-03-20,AVGO,AVGO,320.12,321.51,309.92,310.51,43325937,13453136697.869999
2026-03-20,GOOGL,GOOGL,305.46,306,298.27,301,44364079,13353587779.0
2026-03-20,META,META,603.53,603.955,587.25,593.66,21214898,12594436346.679998
2026-03-20,MSFT,MSFT,386.79,387,380.12,381.87,50853154,19419293917.98
2026-03-20,MU,MU,443.915,449.1,415.36,422.9,64224943,27160728394.699997
2026-03-20,NVDA,NVDA,178,178.26,171.72,172.7,241323528,41676573285.6
2026-03-20,PLTR,PLTR,155.2,156.65,149.09,150.68,48700189,7338144478.52
2026-03-20,TSLA,TSLA,379.85,379.89,364.46,367.96,78628603,28932180759.879997
2026-03-23,AMD,AMD,206.395,209.109,201.71,202.68,31857752,6456929175.360001
2026-03-23,AMZN,AMZN,209.79,212.8,209.51,210.14,44277356,9304443589.84
2026-03-23,AVGO,AVGO,318,326.48,314.93,322.51,27369188,8826836821.88
2026-03-23,GOOGL,GOOGL,302.11,305.98,300.93,302.06,29326946,8858497308.76
2026-03-23,META,META,605.787,608.64,599.01,604.06,13637959,8238145513.539999
2026-03-23,MSFT,MSFT,383.9,387.21,381.68,383,29680059,11367462597.0
2026-03-23,MU,MU,426.145,444.27,401.52,404.35,54807325,22161341863.75
2026-03-23,NVDA,NVDA,177.255,178.37,174.76,175.64,182836294,32113366678.159996
2026-03-23,PLTR,PLTR,153.24,161.08,153.24,160.84,57507057,9249435047.880001
2026-03-23,TSLA,TSLA,373.09,385.33,372.73,380.85,74606049,28413713761.65
2026-03-24,AMD,AMD,201.39,206.43,200.13,205.37,27258849,5598149819.13
2026-03-24,AMZN,AMZN,207.95,209.35,206.64,207.24,35351425,7326229317.0
2026-03-24,AVGO,AVGO,320,324.4,314.84,318.29,19799006,6301825619.740001
2026-03-24,GOOGL,GOOGL,299.2,299.92,290.33,290.44,36864278,10706860902.32
2026-03-24,META,META,599.1,601,591,592.92,10739742,6367807826.639999
2026-03-24,MSFT,MSFT,382.36,382.47,371.85,372.74,42733625,15928531382.5
2026-03-24,MU,MU,401.28,404.98,388.91,395.53,44975061,17788985877.329998
2026-03-24,NVDA,NVDA,174.83,176.22,173.98,175.2,147667844,25871406268.8
2026-03-24,PLTR,PLTR,160.07,162.4,151.64,154.78,56155680,8691776150.4
2026-03-24,TSLA,TSLA,376.56,387.48,376.31,383.03,60004909,22983680294.269997
2026-03-25,AMD,AMD,211.505,221.33,211.505,220.27,48518269,10687119112.630001
2026-03-25,AMZN,AMZN,211.56,213.07,209.9,211.71,36388791,7703870942.610001
2026-03-25,AVGO,AVGO,322.59,324.3,316.719,318.81,19899988,6344315174.28
2026-03-25,GOOGL,GOOGL,293.44,296,289.24,290.93,29460669,8570992432.17
2026-03-25,META,META,598.74,603.67,593.4,594.89,12585031,7486709091.59
2026-03-25,MSFT,MSFT,376.92,377.06,369.63,371.04,31181163,11569458719.52
2026-03-25,MU,MU,383,388.92,371.381,382.09,55328681,21140535723.289997
2026-03-25,NVDA,NVDA,177.1,181.22,176.85,178.68,162602054,29053735008.72
2026-03-25,PLTR,PLTR,157.42,160.27,154.855,154.96,38543289,5972668063.440001
2026-03-25,TSLA,TSLA,389.99,396.23,385.01,385.95,55157265,21287946426.75
2026-03-26,AMD,AMD,217.979,221,203.43,203.77,49212976,10028128119.52
2026-03-26,AMZN,AMZN,210.61,212.885,207.12,207.54,46745978,9701660274.119999
2026-03-26,AVGO,AVGO,314.02,316.92,309.17,309.415,20343712,6294649648.4800005
2026-03-26,GOOGL,GOOGL,287.91,287.95,278.5,280.92,39080578,10978515971.76
2026-03-26,META,META,582.49,583,543.35,547.54,35780131,19591052927.739998
2026-03-26,MSFT,MSFT,370.815,374.72,365.19,365.97,36836574,13481080986.78
2026-03-26,MU,MU,370.02,374.25,350,355.46,54515896,19378220392.16
2026-03-26,NVDA,NVDA,176.07,176.51,171.14,171.24,186152232,31876708207.68
2026-03-26,PLTR,PLTR,153.055,153.12,147.25,147.56,43038425,6350749993.0
2026-03-26,TSLA,TSLA,381.6,384.44,371.87,372.11,55522879,20660618504.690002
2026-03-27,AMD,AMD,201.77,203.27,197.69,201.99,29206578,5899436690.22
2026-03-27,AMZN,AMZN,206.455,206.6,199.14,199.34,56009763,11164986156.42
2026-03-27,AVGO,AVGO,307.06,307.5,298.87,300.68,23593929,7094222571.72
2026-03-27,GOOGL,GOOGL,277.275,279.37,273.95,274.34,35890612,9846230496.08
2026-03-27,META,META,540.1,543.6,520.26,525.72,30133010,15841526017.2
2026-03-27,MSFT,MSFT,361.9,362.45,356.51,356.77,37883400,13515660618.0
2026-03-27,MU,MU,359.86,368.7,354.06,357.22,45806655,16363053299.1
